Word,Score,Emotion,0,1,2
I'm,0.015603889944031835,😀
miserable,-0.7405078251613304,😢
that,-0.47926802473375574,😢
my,-0.375740859657526,😢
best,-0.6293062014738098,😢
friend,-0.6801558462902904,😢
passed,-0.9138271622359753,😢
away,-0.9061456148047,😢
and,-0.9111422256100923,😢
everytime,-0.8637625158298761,😢
I,-0.8859146677423269,😢
go,-0.8852786946808919,😢
get,-0.8687069317093119,😢
drinks,-0.8387033389881253,😢
with,-0.8433713230770081,😢
the,-0.8454671077197418,😢
"boys,",-0.848610098939389,😢
it,-0.8690934207988903,😢
does,-0.8532620426267385,😢
not,-0.8537002494558692,😢
feel,-0.8704920203890651,😢
the,-0.8656814128626138,😢
same,-0.8749687654199079,😢
